DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
86231,Injury to bronchus with open wound into cavity,Bronchus injury-open
86232,Injury to esophagus with open wound into cavity,Esophagus injury-open
86239,Injury to other specified intrathoracic organs with open wound into cavity,Intrathorac inj NEC-open
8628,"Injury to multiple and unspecified intrathoracic organs, without mention of open wound into cavity",Intrathoracic inj NOS-cl
8629,"Injury to multiple and unspecified intrathoracic organs, with open wound into cavity",Intrathorac inj NOS-open
8630,"Injury to stomach, without mention of open wound into cavity",Stomach injury-closed
8631,"Injury to stomach, with open wound into cavity",Stomach injury-open
86320,"Injury to small intestine, unspecified site, without open wound into cavity",Small intest inj NOS-cl
86321,"Injury to duodenum, without open wound into cavity",Duodenum injury-closed
86329,"Other injury to small intestine, without mention of open wound into cavity",Small intest inj NEC-cl
86330,"Injury to small intestine, unspecified site, with open wound into cavity",Small intest inj NOS-opn
86331,"Injury to duodenum, with open wound into cavity",Duodenum injury-open
86339,"Other injury to small intestine, with open wound into cavity",Small intest inj NEC-opn
86340,"Injury to colon, unspecified site, without mention of open wound into cavity",Colon injury NOS-closed
86341,"Injury to ascending [right] colon, without mention of open wound into cavity",Ascending colon inj-clos
86342,"Injury to transverse colon, without mention of open wound into cavity",Transverse colon inj-cl
86343,"Injury to descending [left] colon, without mention of open wound into cavity",Descending colon inj-cl
86344,"Injury to sigmoid colon, without mention of open wound into cavity",Sigmoid colon inj-closed
86345,"Injury to rectum, without mention of open wound into cavity",Rectum injury-closed
86346,"Injury to multiple sites in colon and rectum, without mention of open wound into cavity",Colon inj mult site-clos
86349,"Other injury to colon or rectum, without mention of open wound into cavity",Colon injury NEC-closed
86350,"Injury to colon, unspecified site, with open wound into cavity",Colon injury NOS-open
86351,"Injury to ascending [right] colon, with open wound into cavity",Ascending colon inj-open
86352,"Injury to transverse colon, with open wound into cavity",Transverse colon inj-opn
86353,"Injury to descending [left] colon, with open wound into cavity",Descending colon inj-opn
86354,"Injury to sigmoid colon, with open wound into cavity",Sigmoid colon inj-open
86355,"Injury to rectum, with open wound into cavity",Rectum injury-open
86356,"Injury to multiple sites in colon and rectum, with open wound into cavity",Colon inj mult site-open
86359,"Other injury to colon or rectum, with open wound into cavity",Colon injury NEC-open
86380,"Injury to gastrointestinal tract, unspecified site, without mention of open wound into cavity",GI injury NOS-closed
86381,"Injury to pancreas, head, without mention of open wound into cavity","Pancreas, head inj-close"
86382,"Injury to pancreas, body, without mention of open wound into cavity","Pancreas, body inj-close"
86383,"Injury to pancreas, tail, without mention of open wound into cavity","Pancreas, tail inj-close"
86384,"Injury to pancreas, multiple and unspecified sites, without mention of open wound into cavity",Pancreas injury NOS-clos
86385,"Injury to appendix, without mention of open wound into cavity",Appendix injury-closed
86389,"Injury to other gastrointestinal sites, without mention of open wound into cavity",GI injury NEC-closed
86390,"Injury to gastrointestinal tract, unspecified site, with open wound into cavity",GI injury NOS-open
86391,"Injury to pancreas, head, with open wound into cavity","Pancreas, head inj-open"
86392,"Injury to pancreas, body, with open wound into cavity","Pancreas, body inj-open"
86393,"Injury to pancreas, tail, with open wound into cavity","Pancreas, tail inj-open"
86394,"Injury to pancreas, multiple and unspecified sites, with open wound into cavity",Pancreas injury NOS-open
86395,"Injury to appendix, with open wound into cavity",Appendix injury-open
86399,"Injury to other gastrointestinal sites, with open wound into cavity",GI injury NEC-open
86400,"Injury to liver without mention of open wound into cavity, unspecified injury",Liver injury NOS-closed
86401,"Injury to liver without mention of open wound into cavity, hematoma and contusion ",Liver hematoma/contusion
86402,"Injury to liver without mention of open wound into cavity, laceration, minor","Liver laceration, minor"
86403,"Injury to liver without mention of open wound into cavity, laceration, moderate","Liver laceration, mod"
86404,"Injury to liver without mention of open wound into cavity, laceration, major","Liver laceration, major"
86405,"Injury to liver without mention of open wound into cavity laceration, unspecified",Liver lacerat unspcf cls
86409,Other injury to liver without mention of open wound into cavity,Liver injury NEC-closed
86410,"Injury to liver with open wound into cavity, unspecified injury",Liver injury NOS-open
86411,"Injury to liver with open wound into cavity, hematoma and contusion ",Liver hematom/contus-opn
86412,"Injury to liver with open wound into cavity, laceration, minor","Liver lacerat, minor-opn"
86413,"Injury to liver with open wound into cavity, laceration, moderate","Liver lacerat, mod-open"
86414,"Injury to liver with open wound into cavity, laceration, major","Liver lacerat, major-opn"
86415,"Injury to liver without mention of open wound into cavity laceration, unspecified",Liver lacerat unspcf opn
86419,Other injury to liver with open wound into cavity,Liver injury NEC-open
86500,"Injury to spleen without mention of open wound into cavity, unspecified injury ",Spleen injury NOS-closed
86501,"Injury to spleen without mention of open wound into cavity, hematoma without rupture of capsule",Spleen hematoma-closed
86502,"Injury to spleen without mention of open wound into cavity, capsular tears, without major disruption of parenchyma",Spleen capsular tear
86503,"Injury to spleen without mention of open wound into cavity, laceration extending into parenchyma ",Spleen parenchyma lacer
86504,"Injury to spleen without mention of open wound into cavity, massive parenchymal disruption",Spleen disruption-clos
86509,Other injury into spleen without mention of open wound into cavity,Spleen injury NEC-closed
86510,"Injury to spleen with open wound into cavity, unspecified injury",Spleen injury NOS-open
86511,"Injury to spleen with open wound into cavity, hematoma without rupture of capsule",Spleen hematoma-open
86512,"Injury to spleen with open wound into cavity, capsular tears, without major disruption of parenchyma",Spleen capsular tear-opn
86513,"Injury to spleen with open wound into cavity, laceration extending into parenchyma ",Spleen parnchym lac-opn
86514,"Injury to spleen with open wound into cavity, massive parenchyma disruption  ",Spleen disruption-open
86519,Other injury to spleen with open wound into cavity,Spleen injury NEC-open
86600,"Injury to kidney without mention of open wound into cavity, unspecified injury",Kidney injury NOS-closed
86601,"Injury to kidney without mention of open wound into cavity, hematoma without rupture of capsule",Kidney hematoma-closed
86602,"Injury to kidney without mention of open wound into cavity, laceration",Kidney laceration-closed
86603,"Injury to kidney without mention of open wound into cavity, complete disruption of kidney parenchyma",Kidney disruption-closed
86610,"Injury to kidney with open wound into cavity, unspecified injury ",Kidney injury NOS-open
86611,"Injury to kidney with open wound into cavity, hematoma without rupture of capsule ",Kidney hematoma-open
86612,"Injury to kidney with open wound into cavity, laceration",Kidney laceration-open
86613,"Injury to kidney with open wound into cavity, complete disruption of kidney parenchyma",Kidney disruption-open
8670,"Injury to bladder and urethra, without mention of open wound into cavity",Bladder/urethra inj-clos
8671,"Injury to bladder and urethra, with open wound into cavity",Bladder/urethra inj-open
8672,"Injury to ureter, without mention of open wound into cavity",Ureter injury-closed
8673,"Injury to ureter, with open wound into cavity",Ureter injury-open
8674,"Injury to uterus, without mention of open wound into cavity",Uterus injury-closed
8675,"Injury to uterus, with open wound into cavity",Uterus injury-open
8676,"Injury to other specified pelvic organs, without mention of open wound into cavity",Pelvic organ inj NEC-cl
8677,"Injury to other specified pelvic organs, with open wound into cavity",Pelvic organ inj NEC-opn
8678,"Injury to unspecified pelvic organ, without mention of open wound into cavity",Pelvic organ inj NOS-cl
8679,"Injury to unspecified pelvic organ, with open wound into cavity",Pelvic organ inj NOS-opn
86800,"Injury to other intra-abdominal organs without mention of open wound into cavity, unspecified intra-abdominal organ",Intra-abdom inj NOS-clos
86801,"Injury to other intra-abdominal organs without mention of open wound into cavity, adrenal gland ",Adrenal gland injury-cl
86802,"Injury to other intra-abdominal organs without mention of open wound into cavity, bile duct and gallbladder",Biliary tract injury-cl
